Unnamed: 0,target,sa,cv,density,vf,di,df,dif,filename,Original_Rank
5852,542.8563387,1901.99,16157.4,0.463903,0.52368,12.8205,9.43774,12.74562,lvt+N688+E150,1811
17173,542.8554845,2292.95,22218.5,0.467529,0.536,16.16144,11.99074,15.4669,wji+N68+E52,1812
2392,542.8539192,1553.37,28354.9,0.260231,0.7106,16.42142,13.56853,16.42142,dia+N161+E81,1813
9816,542.8084,2338.58,12462.4,0.612357,0.46766,12.65484,7.74937,12.48037,smu+N481+E142,1814
9031,542.7999176,2608.61,27710.6,0.751334,0.42996,11.39559,7.0698,10.69979,skb+N671+E95,1815
2814,542.7960211,1973.28,16837.3,0.405322,0.60586,14.95906,12.5147,14.22248,eci+N363+E12,1816
10021,542.789689,1835.12,34410.6,0.36424,0.63116,15.85762,12.73422,13.51514,snk+N205+E80,1817
15619,542.7815197,1764.52,31650.4,0.341108,0.67292,16.98922,11.24735,16.98922,vmb+N651+E154,1818
16407,542.7748861,2301.28,14963.6,0.76815,0.4779,13.15954,8.53883,12.09268,whb+N147+E72,1819
12973,542.7459007,2352.88,17473.9,0.574106,0.51992,11.77151,7.79625,11.53531,uki+N649+E127,1820
17263,542.7241111,1722.4,47213.8,0.343425,0.67436,17.88711,12.84597,17.88711,wjv+N671+E34,1822
11388,542.7049702,1695.88,15885.1,0.340768,0.67322,15.7679,12.65103,14.98146,sxc+N394+E97,1823
7285,542.6890623,2642.45,1214.63,0.939281,0.37288,8.55321,6.37816,8.55321,pcu+N59+E13,1824
4332,542.6761133,2349.44,3870.78,0.516227,0.4233,9.46266,8.3867,9.46266,hex+N655+E188,1825
9648,542.6528591,2152.16,18561.0,0.622296,0.53828,15.10681,14.30839,14.91992,smm+N577+E166,1826
16432,542.6352518,2434.94,22740.8,0.625989,0.44424,12.36733,7.72815,12.22557,whb+N548+E163,1828
14540,542.5991566,1877.89,16077.7,0.332218,0.63176,14.85639,14.08542,14.77682,uon+N282+E18,1829
17518,542.5514414,2493.31,19123.3,0.704825,0.45716,10.62801,9.67102,10.59058,wkq+N422+E13,1830
5736,542.54388,2122.55,4146.12,0.454905,0.58752,12.12403,9.21328,12.12403,lon+N310+E19,1831
9771,542.5293385,1988.26,20128.4,0.530874,0.56732,16.40676,10.77135,16.34285,smu+N182+E150,1833
19076,542.5174556,2865.93,22256.2,0.821981,0.3459,8.58197,5.58038,8.58197,zfj+N671+E18,1835
14918,542.5052557,1961.12,26960.9,0.356449,0.61976,15.76109,11.16413,15.4776,upa+N371+E221,1836
7309,542.4386044,2048.99,8937.87,0.412191,0.58748,14.53877,9.29578,14.53872,pcu+N678+E233,1839
9466,542.4084862,1833.79,25423.6,0.380068,0.6056,19.96228,19.03781,19.96228,smk+N483+E149,1840
13457,542.401267,2402.75,12812.5,0.599515,0.45306,12.80663,11.9066,12.80663,umw+N697+E108,1841
12966,542.3983003,2029.19,29243.8,0.467998,0.57596,14.27655,10.21807,14.27655,uki+N153+E130,1842
